"ID","参照記号","パッケージ","数","名称","Supplier and ref",
1,"RV1","rcl-RTRIMCVR42A",1,"500k",,,
2,"REF2,REF1","MountingHole_3mm",2,"MountingHole_3mm",,,
3,"P1","pinhead-1X03",1,"Conn_01x03",,,
4,"U1","SPU0410LR5H",1,"SPU0410LR5H",,,
5,"C2,C1","generic-SMD1608",2,"4.7u",,,
6,"C3","C-1206",1,"0.1u",,,
7,"C4","generic-SMD1608",1,"0.1u",,,
8,"R1,R2,R3","generic-SMD1608",3,"10k",,,
9,"U2","SC-70-5",1,"LM321",,,
